filename,mean_bitplane0,var_bitplane0,energy_bitplane0,entropy_bitplane0,mean_bitplane1,var_bitplane1,energy_bitplane1,entropy_bitplane1,mean_bitplane2,var_bitplane2,energy_bitplane2,entropy_bitplane2,mean_bitplane3,var_bitplane3,energy_bitplane3,entropy_bitplane3,mean_bitplane4,var_bitplane4,energy_bitplane4,entropy_bitplane4,mean_bitplane5,var_bitplane5,energy_bitplane5,entropy_bitplane5,mean_bitplane6,var_bitplane6,energy_bitplane6,entropy_bitplane6,mean_bitplane7,var_bitplane7,energy_bitplane7,entropy_bitplane7,mean_intensity,var_intensity,entropy_intensity,skewness,kurtosis,residual_mean,residual_var,residual_entropy,dct_mean,dct_var,dct_entropy,label
000000180594.png,0.24876627604166668,0.18688161594602803,76421,0.5609756969872506,0.2552766927083333,0.1901105028682285,78421,0.5680582787974374,0.247138671875,0.1860611487388611,75921,0.5591697659469907,0.24979166666666666,0.18739578993055558,76736,0.5621061512965024,0.2508463541666667,0.18792246076795785,77060,0.5632630509667771,0.249794921875,0.18739741888046269,76737,0.5621097310980104,0.24864583333333334,0.1868210828993056,76384,0.5608425445268022,0.247373046875,0.1861796225547791,75993,0.559430696044265,63.33027018229166,10629.570683976483,2.36037478938597,1.1600971331737473,-0.5388894449115273,44.659521484375,7728.985920083521,1.6956427214380096,7.804246269562676,14579.387545502555,1.0656305283573604,0
000000278120.png,0.5004134114583333,0.24999982909096607,153727,0.6931468387418387,0.49762369791666666,0.24999435318840882,152870,0.6931358868942471,0.505146484375,0.24997351369857793,155181,0.6930942070216959,0.4745279947916667,0.2493511769506666,145775,0.6918489725826449,0.48768229166666666,0.24984827406141497,149816,0.6928436979809741,0.520849609375,0.24956529378890988,160005,0.6922775160030366,0.4385481770833333,0.24622367346021864,134722,0.685575397466307,0.5933723958333333,0.24128159569634344,182284,0.6756075837815363,135.80132486979167,4876.06745202076,5.418032535688857,-0.39625039355707586,-1.0798422833932872,80.75023111979166,11954.384995063772,2.3265479553137967,16.970096885567273,23030.08310010593,1.6928920727540633,0
000000370845.png,0.4969272284122563,0.24999055807476947,114174,0.693128296590616,0.5043393105849582,0.2499811703836473,115877,0.6931095208544863,0.5045656337047354,0.24997915498887419,115929,0.6931054899583218,0.5200252437325905,0.2495989896134503,119481,0.6923449452367171,0.5569507311977716,0.2467566142160392,127965,0.6866463096264461,0.5275200208913648,0.24924264845013883,121203,0.6916317117568305,0.7047136142061281,0.20809233615866451,161915,0.6068174064687888,0.8367731545961002,0.1365838423433911,192257,0.4449821965699269,185.6845577994429,2758.593401858777,5.145532466886382,-0.9692449989635741,0.12588980684663165,102.86763144150417,13914.79663681681,2.342403594337343,23.333915992594317,36921.129261112495,1.9691191389632292,0
000000052697.png,0.5011350235849057,0.24999871172146182,101991,0.6931446040006559,0.5025550314465409,0.24999347181430723,102280,0.6931341241317361,0.4914209905660377,0.24992640059713203,100014,0.6929999745308626,0.36640625,0.23215270996093748,74571,0.657015286375463,0.3954156839622642,0.23906212083891892,80475,0.6711090470716943,0.8434453616352201,0.1320452835712529,171658,0.43391226332679356,0.8339376965408805,0.13848561482897082,169723,0.4495872076157328,0.08784886006289308,0.08013143784854332,17879,0.29753241497669003,104.33674823113208,794.5357112813451,4.24910728912921,-0.595267219721614,4.802890545098708,25.41937893081761,5294.146595762072,0.7717983536843069,12.891871933644206,11328.70957394396,0.6469638141828951,0
000000532191.png,0.519405718336484,0.24962341809584496,175850,0.6923938275523731,0.5279536862003781,0.2492185914278107,178744,0.6915835482635116,0.5445002362948961,0.24801972896969846,184346,0.6891813932309863,0.5624261578449905,0.24610297481671228,190415,0.6853327537971388,0.5643135633270321,0.24586376557217987,191054,0.6848517481410701,0.49938563327032137,0.24999962255352143,169072,0.6931464256667983,0.35690571833648393,0.22952402655520243,120834,0.6516170516655604,0.28786921077504724,0.20500052826279863,97461,0.6002327664564588,92.95130552930057,6375.359449500699,5.084383376345592,0.9080982980288113,-0.504067086611589,78.53599952741021,12487.997829742908,1.9713527965756898,11.680730965723281,14859.117114423627,1.3673778453094267,1
000000048574.png,0.46155081775700935,0.2485216603848452,126428,0.6901875804311244,0.4632666471962617,0.24865066079179607,126898,0.6904460692655044,0.46229556074766354,0.24857837526066695,126632,0.6903012302440029,0.5263471086448598,0.24930582986605596,144177,0.6917581970811583,0.5473678446261683,0.24775628729547125,149935,0.6886530186085864,0.589044246495327,0.2420711221660794,161351,0.6772045202619474,0.5777964369158879,0.2439477144031923,158270,0.6809932899721058,0.47900481892523367,0.2495592023716378,131209,0.6922653260502667,133.34693341121496,4669.9300752922945,5.104148878951806,0.28691754175333245,-0.7296244174712205,95.11269713785046,12170.456684577086,2.8567159416431505,16.552211014971412,22107.234514672702,2.1502587635600277,0
000000091308.png,0.4493048336798337,0.24743000011177071,138314,0.6879983378377479,0.5524428274428275,0.24724974984980191,170064,0.6876365504495777,0.5838032744282744,0.24297701119509935,179718,0.6790346895023975,0.40403781185031185,0.2407912584455238,124379,0.674614929968533,0.5682302494802495,0.24534463305586293,174924,0.6838073326720282,0.5412681912681913,0.248296936389452,166624,0.68973717552818,0.31721348752598755,0.21658909085758773,97651,0.6247511938845474,0.0777189449064449,0.0716787105090739,23925,0.273162584480676,63.78366034303534,1582.5668730883754,4.740831497236108,0.9512053146021785,1.0837280824215938,103.64363955301455,13032.955231764046,2.752661905416018,8.015291242877257,5598.37558806269,2.195814259888926,0
000000229793.png,0.45844336854460094,0.24827304638208017,124990,0.6896892858039917,0.44093676643192486,0.24651153444048302,120217,0.6861539323366863,0.4226305751173709,0.24401397209333106,115226,0.6811268844930107,0.408362676056338,0.2416026008604443,111336,0.6762570740521272,0.37523107394366195,0.23443271509074798,102303,0.6616811627490566,0.3867517605633803,0.23717483626450594,105444,0.6672729118543411,0.47911531690140846,0.24956383001187138,130626,0.6922745867474898,0.4889194542253521,0.2498772215053359,133299,0.692901603467256,117.92256455399061,8296.719759326817,5.081482896386806,-0.06163661092829993,-1.6168860252811947,101.82217209507043,13196.041429612991,2.658686301911766,14.560143666315778,21954.797687377333,2.2457357161459885,0
000000153209.png,0.49995555555555554,0.24999999802469133,134988,0.693147176609328,0.5016925925925926,0.24999713513031555,135457,0.693141450809633,0.49374444444444443,0.24996086802469136,133311,0.6930689145674516,0.46794814814814817,0.2489726787928669,126346,0.6910911286424146,0.4989925925925926,0.2499989851303155,134728,0.693145150819203,0.5647925925925926,0.24580191994513034,152494,0.6847273626760346,0.45744814814814816,0.2481893399039781,123511,0.6895214763346063,0.5228296296296296,0.24947880801097394,141164,0.6921044340914051,129.47802222222222,1021.3626947550619,4.806934693088465,-0.44073745031823,-0.06540915421544735,31.57777777777778,6591.980602469135,0.8040928246629323,16.178476441760363,17544.358566690076,0.5482543449467203,0
000000497210.png,0.5002561475409836,0.2499999343884373,136710,0.693147049336814,0.5006110948477752,0.24999962656308702,136807,0.6931464336859334,0.5017235070257611,0.24999702952353214,137111,0.6931412395952445,0.5044020784543326,0.2499806217052819,137843,0.6931084234698025,0.49295228337236535,0.2499503296903366,134714,0.6930478366508375,0.5420301522248243,0.24823346630395812,148126,0.6896099405076161,0.39797277517564406,0.23959044539464036,108758,0.6721811314758378,0.4311768149882904,0.24526336920484398,117832,0.683643775704446,113.43668032786886,3057.34504653247,5.334331729754993,0.18360312419759878,-0.6149745061240459,113.25736241217798,13425.759130513858,2.7710393216464926,14.11828526092957,15664.09232170376,2.374393925352104,0
